epoch,train_loss,val_acc,lr
1,1.40037,27.5,0.0002
2,1.26152,40.0,0.0003
3,1.190335,45.0,0.0004
4,1.123984,42.5,0.0005
5,1.052026,67.5,0.0005
6,1.034735,70.0,0.00049978
7,0.963462,67.5,0.00049912
8,1.009556,70.0,0.00049803
9,0.94613,67.5,0.00049651
10,0.886723,77.5,0.00049455
11,0.866052,70.0,0.00049216
12,0.859281,70.0,0.00048935
13,0.858314,72.5,0.00048612
14,0.836815,67.5,0.00048248
15,0.751011,77.5,0.00047843
16,0.806151,75.0,0.00047398
17,0.791301,75.0,0.00046914
18,0.766841,72.5,0.00046391
19,0.764995,70.0,0.00045831
20,0.693668,80.0,0.00045235
21,0.695593,70.0,0.00044603
22,0.670828,80.0,0.00043937
23,0.702391,75.0,0.00043238
24,0.712518,77.5,0.00042507
25,0.727154,72.5,0.00041745
26,0.636216,72.5,0.00040954
27,0.658166,75.0,0.00040135
28,0.640388,80.0,0.00039289
29,0.665258,77.5,0.00038419
30,0.607516,80.0,0.00037525
31,0.612416,80.0,0.00036609
32,0.628665,77.5,0.00035673
33,0.608467,77.5,0.00034719
34,0.627418,75.0,0.00033747
35,0.575378,77.5,0.0003276
36,0.574799,70.0,0.0003176
37,0.573189,77.5,0.00030747
38,0.56852,72.5,0.00029725
39,0.562092,72.5,0.00028695
40,0.569566,72.5,0.00027658
